run_id,phase,host,runtime,model_id,weight_quant,kv_quant,rope_cfg,ctx_len,batch,in_tok,out_tok,n_trials,ttft_ms_mean,ttft_ms_std,tpot_ms_mean,tpot_ms_std,gen_tps,weights_gb,kv_pool_tokens,vram_peak_gb,eff_kv_bits,status,notes
p2-awq,2,4090,vllm,models/Qwen2.5-7B-Instruct-AWQ-yarn64k,awq_w4,fp16,yarn4,4096,4,48975,3072,12,482.52621448288363,464.9083351789813,8.656395312544761,1.2350885883183718,379.9059787400696,5.2271,280224,,16,OK, src=p2_awq_4096_c4.json
p2-awq,2,4090,vllm,models/Qwen2.5-7B-Instruct-AWQ-yarn64k,awq_w4,fp16,yarn4,4096,8,98127,6144,24,658.1016834825277,609.7888895200722,12.0919086574729,3.1349470269096864,544.816854511434,5.2271,280224,,16,OK, src=p2_awq_4096_c8.json
p2-awq,2,4090,vllm,models/Qwen2.5-7B-Instruct-AWQ-yarn64k,awq_w4,fp16,yarn4,63488,1,380928,1536,6,9501.82846467942,4153.233214557929,10.38339047272708,0.01209226814129679,21.070561715421487,5.2271,280224,,16,OK, src=p2_awq_63488_c1.json
p2-awq,2,4090,vllm,models/Qwen2.5-7B-Instruct-AWQ-yarn64k,awq_w4,fp16,yarn4,63488,4,761856,3072,12,21101.615766684215,8853.588968499165,112.38033182012053,43.52084409812983,20.49676926939364,5.2271,280224,,16,OK, src=p2_awq_63488_c4.json
p2-gptq,2,4090,vllm,models/Qwen2.5-7B-Instruct-GPTQ-Int4-yarn64k,gptq_w4,fp16,yarn4,16384,1,98304,1536,6,1235.2301687933505,525.2637453970889,7.397735838358309,0.011698339106628743,82.0036236953697,5.2033,280704,,16,OK, src=p2_gptq_16384_c1.json
p2-gptq,2,4090,vllm,models/Qwen2.5-7B-Instruct-GPTQ-Int4-yarn64k,gptq_w4,fp16,yarn4,16384,4,196608,3072,12,1698.3813714856904,1465.4056849549036,15.341432652210976,5.083325270432946,181.7168405926603,5.2033,280704,,16,OK, src=p2_gptq_16384_c4.json
p2-gptq,2,4090,vllm,models/Qwen2.5-7B-Instruct-GPTQ-Int4-yarn64k,gptq_w4,fp16,yarn4,16384,8,393216,6144,24,2759.9084925993034,2914.7048741846083,32.1225961772238,15.866710088505338,185.50378504280735,5.2033,280704,,16,OK, src=p2_gptq_16384_c8.json
p2-gptq,2,4090,vllm,models/Qwen2.5-7B-Instruct-GPTQ-Int4-yarn64k,gptq_w4,fp16,yarn4,32768,1,196608,1536,6,3715.9197196985283,1612.1870512158441,8.422994773737551,0.013865291244189178,43.65659495925551,5.2033,280704,,16,OK, src=p2_gptq_32768_c1.json
p2-gptq,2,4090,vllm,models/Qwen2.5-7B-Instruct-GPTQ-Int4-yarn64k,gptq_w4,fp16,yarn4,32768,4,393216,3072,12,4414.423289631183,3969.7181547129344,33.763432774534515,18.168288522366506,78.15014921865448,5.2033,280704,,16,OK, src=p2_gptq_32768_c4.json
p2-gptq,2,4090,vllm,models/Qwen2.5-7B-Instruct-GPTQ-Int4-yarn64k,gptq_w4,fp16,yarn4,32768,8,786432,5889,24,11642.521577111134,7604.029534648156,127.12601799651257,42.675724010155676,45.59890212372189,5.2033,280704,,16,OK, src=p2_gptq_32768_c8.json
p2-gptq,2,4090,vllm,models/Qwen2.5-7B-Instruct-GPTQ-Int4-yarn64k,gptq_w4,fp16,yarn4,4096,1,24504,1536,6,332.8918999371429,139.56796524587241,6.588526191250756,0.005092820155510178,127.16564490852558,5.2033,280704,,16,OK, src=p2_gptq_4096_c1.json
p2-gptq,2,4090,vllm,models/Qwen2.5-7B-Instruct-GPTQ-Int4-yarn64k,gptq_w4,fp16,yarn4,4096,4,48975,3072,12,560.7260831166059,489.70170783549696,8.304335555560838,1.2334847864430978,381.44701863240357,5.2033,280704,,16,OK, src=p2_gptq_4096_c4.json
p2-gptq,2,4090,vllm,models/Qwen2.5-7B-Instruct-GPTQ-Int4-yarn64k,gptq_w4,fp16,yarn4,4096,8,98127,5935,24,663.3057057236632,602.5328016047026,12.404857554810286,3.7182470083420194,530.1423094973543,5.2033,280704,,16,OK, src=p2_gptq_4096_c8.json
p2-gptq,2,4090,vllm,models/Qwen2.5-7B-Instruct-GPTQ-Int4-yarn64k,gptq_w4,fp16,yarn4,63488,1,380928,1536,6,9475.863629331192,4140.824373034652,10.384779440519075,0.024732506643756008,21.114873309323247,5.2033,280704,,16,OK, src=p2_gptq_63488_c1.json
p2-gptq,2,4090,vllm,models/Qwen2.5-7B-Instruct-GPTQ-Int4-yarn64k,gptq_w4,fp16,yarn4,63488,4,761856,3072,12,16679.6433715305,8618.18041278041,135.86188565263998,44.44127174933552,19.873694397549613,5.2033,280704,,16,OK, src=p2_gptq_63488_c4.json
p3-bf16-fp8,3,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp8_e4m3,yarn4,16384,1,98304,803,6,2129.9318914922574,9.203183525539975,17.30099973457744,0.017034128248335646,30.23347678208674,14.2717,219600,,8,OK,vllm_v0_xformers calculate_kv_scales src=p3_bf16_fp8_16384_c1.json
p3-bf16-fp8,3,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp8_e4m3,yarn4,16384,4,196608,2341,12,4636.870703349511,2359.789057175696,76.16690523261234,85.24674163709511,55.20457331891158,14.2717,219600,,8,OK,vllm_v0_xformers calculate_kv_scales src=p3_bf16_fp8_16384_c4.json
p3-bf16-fp8,3,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp8_e4m3,yarn4,32768,1,196608,772,6,5507.1580473644035,10.341799876461709,18.442036916373993,0.12503044124592555,16.3850172733264,14.2717,219600,,8,OK,vllm_v0_xformers calculate_kv_scales src=p3_bf16_fp8_32768_c1.json
p3-bf16-fp8,3,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp8_e4m3,yarn4,32768,4,393216,1096,12,10399.01652544116,5090.570812693893,168.0435728221282,103.00645528634774,14.79922343919133,14.2717,219600,,8,OK,vllm_v0_xformers calculate_kv_scales src=p3_bf16_fp8_32768_c4.json
p3-bf16-fp8,3,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp8_e4m3,yarn4,63488,1,380928,295,6,15215.495584066957,8.16964404142196,20.857729493504706,0.1429412088266677,3.0318098671994043,14.2717,219600,,8,OK,vllm_v0_xformers calculate_kv_scales src=p3_bf16_fp8_63488_c1.json
p3-bf16-fp8,3,4090,vllm,models/Qwen2.5-7B-Instruct-yarn64k,bf16,fp8_e4m3,yarn4,63488,4,761856,1057,12,37746.03033376237,11646.58729942504,254.3321312971702,112.24519858138652,5.4212715836097995,14.2717,219600,,8,OK,vllm_v0_xformers calculate_kv_scales src=p3_bf16_fp8_63488_c4.json
p3-awq-fp8,3,4090,vllm,models/Qwen2.5-7B-Instruct-AWQ-yarn64k,awq_w4,fp8_e4m3,yarn4,16384,1,98304,1064,6,2022.7351506861546,6.0076471188990554,7.390621031313001,0.02767328484099287,53.2704715932467,5.2271,558320,,8,OK,vllm_v0_xformers calculate_kv_scales src=p3_awq_fp8_16384_c1.json
p3-awq-fp8,3,4090,vllm,models/Qwen2.5-7B-Instruct-AWQ-yarn64k,awq_w4,fp8_e4m3,yarn4,16384,4,196608,1657,12,4025.3361984311296,2498.916668286322,79.75612681832598,83.38745093070848,53.85186855626694,5.2271,558320,,8,OK,vllm_v0_xformers calculate_kv_scales src=p3_awq_fp8_16384_c4.json
p3-awq-fp8,3,4090,vllm,models/Qwen2.5-7B-Instruct-AWQ-yarn64k,awq_w4,fp8_e4m3,yarn4,32768,1,196608,266,6,5136.776610122372,9.131284808627207,8.01971466189214,0.13299399200963036,8.079887969988405,5.2271,558320,,8,OK,vllm_v0_xformers calculate_kv_scales src=p3_awq_fp8_32768_c1.json
p3-awq-fp8,3,4090,vllm,models/Qwen2.5-7B-Instruct-AWQ-yarn64k,awq_w4,fp8_e4m3,yarn4,32768,4,393216,790,12,14072.732163903614,4073.9739033394617,184.85339315952498,75.0752011542206,11.803444834111994,5.2271,558320,,8,OK,vllm_v0_xformers calculate_kv_scales src=p3_awq_fp8_32768_c4.json
p3-awq-fp8,3,4090,vllm,models/Qwen2.5-7B-Instruct-AWQ-yarn64k,awq_w4,fp8_e4m3,yarn4,63488,1,380928,18,6,13929.060592316091,7.409262166136724,10.171149267504614,0.1975570014887581,0.21506232761559552,5.2271,558320,,8,OK,vllm_v0_xformers calculate_kv_scales src=p3_awq_fp8_63488_c1.json
p3-awq-fp8,3,4090,vllm,models/Qwen2.5-7B-Instruct-AWQ-yarn64k,awq_w4,fp8_e4m3,yarn4,63488,4,761856,438,12,50045.103941035144,13814.442353931296,203.2360400884685,71.79339075199435,2.505884057406365,5.2271,558320,,8,OK,vllm_v0_xformers calculate_kv_scales src=p3_awq_fp8_63488_c4.json
